"key","pref","city","kcity","rcom","pref_name","city_name","kcity_name","rcom_name","JAうま","JAえひめ中央","JAえひめ南","JAえひめ未来","JAおちいまばり","JAにしうわ","JAひがしうわ","JA今治立花","JA周桑","JA愛媛たいき","JA松山市"
"3820101057","38","201","01","057","愛媛県","松山市","松山市","久万ノ台",0,1,0,0,0,0,0,0,0,0,1
"3820101058","38","201","01","058","愛媛県","松山市","松山市","船ケ谷",0,1,0,0,0,0,0,0,0,0,1
"3820101059","38","201","01","059","愛媛県","松山市","松山市","古三津",0,1,0,0,0,0,0,0,0,0,1
"3820101060","38","201","01","060","愛媛県","松山市","松山市","中須賀",0,1,0,0,0,0,0,0,0,0,1
"3820101061","38","201","01","061","愛媛県","松山市","松山市","三津浜北",0,1,0,0,0,0,0,0,0,0,1
"3820101062","38","201","01","062","愛媛県","松山市","松山市","三津浜南",0,1,0,0,0,0,0,0,0,0,1
"3820101063","38","201","01","063","愛媛県","松山市","松山市","東山",0,1,0,0,0,0,0,0,0,0,1
"3820101064","38","201","01","064","愛媛県","松山市","松山市","北山",0,1,0,0,0,0,0,0,0,0,1
"3820101065","38","201","01","065","愛媛県","松山市","松山市","松ノ木",0,1,0,0,0,0,0,0,0,0,1
"3820101066","38","201","01","066","愛媛県","松山市","松山市","石風呂",0,1,0,0,0,0,0,0,0,0,1
"3820101067","38","201","01","067","愛媛県","松山市","松山市","新浜",0,1,0,0,0,0,0,0,0,0,1
"3820101068","38","201","01","068","愛媛県","松山市","松山市","港山",0,1,0,0,0,0,0,0,0,0,1
"3820101069","38","201","01","069","愛媛県","松山市","松山市","梅津寺",0,1,0,0,0,0,0,0,0,0,1
"3820101070","38","201","01","070","愛媛県","松山市","松山市","高浜",0,1,0,0,0,0,0,0,0,0,1
"3820101071","38","201","01","071","愛媛県","松山市","松山市","土居",0,1,0,0,0,0,0,0,0,0,1
"3820101072","38","201","01","072","愛媛県","松山市","松山市","仲屋",0,1,0,0,0,0,0,0,0,0,1
"3820101073","38","201","01","073","愛媛県","松山市","松山市","西側",0,1,0,0,0,0,0,0,0,0,1
"3820101074","38","201","01","074","愛媛県","松山市","松山市","大正寺",0,1,0,0,0,0,0,0,0,0,1
"3820101075","38","201","01","075","愛媛県","松山市","松山市","中津",0,1,0,0,0,0,0,0,0,0,1
"3820101076","38","201","01","076","愛媛県","松山市","松山市","東谷",0,1,0,0,0,0,0,0,0,0,1
"3820101077","38","201","01","077","愛媛県","松山市","松山市","国松",0,1,0,0,0,0,0,0,0,0,1
"3820101078","38","201","01","078","愛媛県","松山市","松山市","御産所",0,1,0,0,0,0,0,0,0,0,1
"3820101079","38","201","01","079","愛媛県","松山市","松山市","別府",0,1,0,0,0,0,0,0,0,0,1
"3820101080","38","201","01","080","愛媛県","松山市","松山市","清水",0,1,0,0,0,0,0,0,0,0,1
"3820101081","38","201","01","081","愛媛県","松山市","松山市","松恵",0,1,0,0,0,0,0,0,0,0,1
"3820101082","38","201","01","082","愛媛県","松山市","松山市","山西",0,1,0,0,0,0,0,0,0,0,1
"3820101083","38","201","01","083","愛媛県","松山市","松山市","清住",0,1,0,0,0,0,0,0,0,0,1
"3820101084","38","201","01","084","愛媛県","松山市","松山市","大可賀",0,1,0,0,0,0,0,0,0,0,1
